Title,Track,Type,Organiser(s),Participants,Remote Participants,Day,Time,Synopsis,Locked,OWASP Type,CSF Category,SAMM 2.0 Practice & Stream,Tags,Notes
OWASP HoneyPot,OWASP Projects,Working,"Felipe Zipitria, Adrian Winckles",0,1,Wed,PM-2,Yes,No,Defender,DE.CM,D-SA-A,"Metrics, Detection, Automation",
OWASP Media Project,OWASP Projects,Working,Jonathan Marcil,0,0,Tue,EVE-1,Yes,No,All,PR.AT,G-EG-A,Education,"Times need to be clarified - probably need to create multiple sessions, so they will map correctly over sessions."
ZAP working session - automation,OWASP Projects,Working,Simon Bennet,5,1,Tue,AM-1,No,Yes,Breaker,PR.PT,V-ST-A,"ZAP, Tool, Automation",
ZAP working session - future plans,OWASP Projects,Working,Simon Bennet,2,1,Wed,AM-1,Yes,Yes,Breaker,PR.PT,V-ST-A,"ZAP, Tool, Automation",
ZAP working session - the HUD,OWASP Projects,Working,Simon Bennet,2,1,Tue,PM-1,Yes,Yes,Breaker,PR.PT,V-ST-A,"ZAP, Tool, Automation",
SAMM user session - Introduction,OWASP SAMM,User,"Sebastien Deleersnyder, Bart De Win",4,0,Mon,PM-1,Yes,Yes,Builders,ID.GV,All,"SAMM, Governance, Metrics",
SAMM user session - Round-table,OWASP SAMM,User,"Sebastien Deleersnyder, Bart De Win",4,0,Mon,PM-2,Yes,Yes,Builders,ID.GV,All,"SAMM, Governance, Metrics",
Mapping OWASP DevSecOps Maturity Model to SAMMv2,OWASP SAMM,Working,"Sebastien Deleersnyder, Bart De Win",4,0,Wed,PM-3,Yes,Yes,Builders,ID.GV,All,"SAMM, Governance, Metrics",
SAMM - Agile guidance,OWASP SAMM,Working,"Sebastien Deleersnyder, Bart De Win",4,0,Thu,EV-1,Yes,Yes,Builders,ID.GV,All,"SAMM, Governance, Metrics",
SAMM - Alignment with other OWASP projects (Fri),OWASP SAMM,Working,"Sebastien Deleersnyder, Bart De Win",4,0,Fri ,DS-2,Yes,Yes,Builders,ID.GV,All,"SAMM, Governance, Metrics",
SAMM - Alignment with other OWASP projects (Thu),OWASP SAMM,Working,"Sebastien Deleersnyder, Bart De Win",4,0,Thu,DS-2,Yes,Yes,Builders,ID.GV,All,"SAMM, Governance, Metrics",
SAMM - Alignment with other OWASP projects (Wed),OWASP SAMM,Working,"Sebastien Deleersnyder, Bart De Win",4,0,Wed,DS-2,Yes,Yes,Builders,ID.GV,All,"SAMM, Governance, Metrics",
SAMM - Alignment with Threat Modeling,OWASP SAMM,Working,"Sebastien Deleersnyder, Bart De Win",4,0,Thu,PM-2,Yes,Yes,Builders,ID.GV,All,"SAMM, Governance, Metrics",
SAMM - Any Other Business,OWASP SAMM,Working,"Sebastien Deleersnyder, Bart De Win",4,0,Fri,PM-1,Yes,Yes,Builders,ID.GV,All,"SAMM, Governance, Metrics",
SAMM - DevOps guidance,OWASP SAMM,Working,"Sebastien Deleersnyder, Bart De Win",4,0,Wed,PM-3,Yes,Yes,Builders,ID.GV,All,"SAMM, Governance, Metrics",
SAMM - Editing agreements and parallel editing,OWASP SAMM,Working,"Sebastien Deleersnyder, Bart De Win",4,0,Tue,AM-1,Yes,Yes,Builders,ID.GV,All,"SAMM, Governance, Metrics",
SAMM - Measurement model (Mon EV),OWASP SAMM,Working,"Sebastien Deleersnyder, Bart De Win",4,0,Mon,EV-1,Yes,Yes,Builders,ID.GV,All,"SAMM, Governance, Metrics",
SAMM - Measurement model (Mon PM),OWASP SAMM,Working,"Sebastien Deleersnyder, Bart De Win",4,0,Mon,PM-3,Yes,Yes,Builders,ID.GV,All,"SAMM, Governance, Metrics",
SAMM - Model Challenges (Tue),OWASP SAMM,Working,"Sebastien Deleersnyder, Bart De Win",4,0,Tue,EV-1,Yes,Yes,Builders,ID.GV,All,"SAMM, Governance, Metrics",
SAMM - Model Challenges (Wed),OWASP SAMM,Working,"Sebastien Deleersnyder, Bart De Win",4,0,Wed,EV-1,Yes,Yes,Builders,ID.GV,All,"SAMM, Governance, Metrics",
SAMM - Model discussions (Tue),OWASP SAMM,Working,"Sebastien Deleersnyder, Bart De Win",4,0,Tue,PM-2,Yes,Yes,Builders,ID.GV,All,"SAMM, Governance, Metrics",
SAMM - Model discussions (Wed),OWASP SAMM,Working,"Sebastien Deleersnyder, Bart De Win",4,0,Wed,PM-2,Yes,Yes,Builders,ID.GV,All,"SAMM, Governance, Metrics",
SAMM - Outreach program (Mon),OWASP SAMM,Working,"Sebastien Deleersnyder, Bart De Win",4,0,Mon,DS-2,Yes,Yes,Builders,ID.GV,All,"SAMM, Governance, Metrics",
SAMM - Outreach program (Tue),OWASP SAMM,Working,"Sebastien Deleersnyder, Bart De Win",4,0,Tue,DS-2,Yes,Yes,Builders,ID.GV,All,"SAMM, Governance, Metrics",
SAMM - Outreach wrap-up,OWASP SAMM,Working,"Sebastien Deleersnyder, Bart De Win",4,0,Tue,PM-3,Yes,Yes,Builders,ID.GV,All,"SAMM, Governance, Metrics",
SAMM - Parallel editing (Thu AM),OWASP SAMM,Working,"Sebastien Deleersnyder, Bart De Win",4,0,Thu,AM-1,Yes,Yes,Builders,ID.GV,All,"SAMM, Governance, Metrics",
SAMM - Parallel editing (Thu PM),OWASP SAMM,Working,"Sebastien Deleersnyder, Bart De Win",4,0,Thu,PM-1,Yes,Yes,Builders,ID.GV,All,"SAMM, Governance, Metrics",
SAMM - Parallel editing (Tue),OWASP SAMM,Working,"Sebastien Deleersnyder, Bart De Win",4,0,Tue,PM-2,Yes,Yes,Builders,ID.GV,All,"SAMM, Governance, Metrics",
SAMM - Parallel editing (Wed PM),OWASP SAMM,Working,"Sebastien Deleersnyder, Bart De Win",4,0,Wed,PM-1,Yes,Yes,Builders,ID.GV,All,"SAMM, Governance, Metrics",
SAMM - Planning and Roadmap,OWASP SAMM,Working,"Sebastien Deleersnyder, Bart De Win",4,0,Fri,PM-2,Yes,Yes,Builders,ID.GV,All,"SAMM, Governance, Metrics",
SAMM - SAMM benchmarking,OWASP SAMM,Working,"Sebastien Deleersnyder, Bart De Win",4,0,Thu,PM-3,Yes,Yes,Builders,ID.GV,All,"SAMM, Governance, Metrics",
SAMM - SAMM documents and parallel editing (Wed AM),OWASP SAMM,Working,"Sebastien Deleersnyder, Bart De Win",4,0,Wed,AM-1,Yes,Yes,Builders,ID.GV,All,"SAMM, Governance, Metrics",
SAMM - Tooling,OWASP SAMM,Working,"Sebastien Deleersnyder, Bart De Win",4,0,Fri,AM-1,Yes,Yes,Builders,ID.GV,All,"SAMM, Governance, Metrics",
Automated Threat Hunting Project Collaboration,Threat Modeling,Working,"Steven Wierckx, Tash Norris",0,1,Wed,PM-2,Yes,No,Builder,ID.GV,D-TA-B,Threat Modeling,
Creating a generic diagram of a threat model,Threat Modeling,Working,Steven Wierckx,0,1,Tue,PM-1,Yes,Yes,Builder,ID.GV,D-TA-B,Threat Modeling,
Describe different ways of implementing TM in agile organisations,Threat Modeling,Working,Steven Wierckx,3,2,Wed,PM-2,Yes,Yes,Builder,ID.GV,D-TA-B,Threat Modeling,
How do we persist the information from the TM Slack channel?,Threat Modeling,Working,Steven Wierckx,0,4,Tue,AM-1,Yes,Yes,Builder,ID.GV,D-TA-B,Threat Modeling,
Incremental Threat Modeling,Threat Modeling,Working,"Irene Michlin, Steven Wierckx",1,1,Thu,PM-1,Yes,Yes,Builder,ID.GV,D-TA-B,Threat Modeling,
Lightweight privacy threat modeling using LINDDUN,Threat Modeling,Working,"Steven Wierckx, Kim Wuyts",5,2,Mon,PM-2,Yes,Yes,Builder,PR.AT,G-AT-A,Threat Modeling,
Lightweight privacy threat modeling using LINDDUN Part II,Threat Modeling,Working,"Steven Wierckx, Kim Wuyts",0,1,Mon,PM-3,Yes,Yes,Builder,PR.AT,G-AT-A,Threat Modeling,
SAMMv2 - Threat Modeling,Threat Modeling,Working,"Steven Wierckx, Sebastien Deleersnyder",3,2,Thu,PM-2,Yes,Yes,Builder,ID.GV,D-TA-B,Threat Modeling,
State and future of threat modeling,Threat Modeling,Working,Steven Wierckx,8,5,Wed,AM-1,Yes,Yes,Builder,PR.AT,G-AT-A,Threat Modeling,
Threat Model Examples Project (PM-2),Threat Modeling,Working,"Jonathan Marcil, Tash Norris",1,0,Wed,PM-3,Yes,No,Builder,PR.AT,G-AT-A,Threat Modeling,
Threat Model Examples Project (PM-3),Threat Modeling,Working,"Jonathan Marcil, Tash Norris",4,0,Tue,PM-3,Yes,Yes,Builder,PR.AT,G-AT-A,Threat Modeling,
TM Maturity,Threat Modeling,Working,Steven Wierckx,0,1,Tue,PM-2,Yes,Yes,Builder,ID.GV,D-TA-B,Threat Modeling,
TM Track Introduction,Threat Modeling,Working,Steven Wierckx,0,1,Mon,PM-1,Yes,Yes,Builder,ID.GV,D-TA-B,Threat Modeling,
Towards a unified way of describing threat models,Threat Modeling,Working,Steven Wierckx,6,6,Thu,AM-1,Yes,Yes,Builder,ID.GV,D-TA-B,Threat Modeling,
Track Closure,Threat Modeling,Working,Steven Wierckx,0,0,Thu,PM-3,Yes,Yes,Builder,ID.GV,D-TA-B,Threat Modeling,
Using Wardley Maps and Cynefin for Security,Wardley maps,User,"Simon Wardley , Dave Snowden",2,0,Wed,PM-2,No,Yes,All,ID.BE,D-SA-A,"Wardley map, risk management",Double booking with Wardley Maps for Security
Using Wardley Maps on SOC,Wardley maps,User,Tony Richards,5,1,Wed,PM-3,Yes,Yes,All,ID.BE,D-SA-A,"Wardley map, risk management",
Wardley Maps for Security,Wardley maps,User,"Mario Platt, Tony Richards",4,0,Wed,PM-2,Yes,Yes,All,ID.BE,D-SA-A,"Wardley map, risk management",Double booking with previous line
Cell based Structures for Security,Wardley maps,Working,"Simon Wardley, Tony Richards",2,1,Thu,AM-2,Yes,Yes,All,ID.BE,D-SA-A,"Wardley map, risk management",
Hand's on Wardley Maps creation (Training Session),Wardley maps,Working,Tony Richards,3,1,Mon,PM-3,Yes,No,All,ID.BE,D-SA-A,"Wardley map, risk management",
Introduction to Wardley Maps (Training Session),Wardley maps,Working,Tony Richards,3,1,Mon,PM-1,Yes,No,All,ID.BE,D-SA-A,"Wardley map, risk management",
Mapping boot camp,Wardley maps,Working,Simon Wardley,3,1,Thu,AM-1,Yes,Yes,All,ID.BE,D-SA-A,"Wardley map, risk management",
Wardley Mapping - Climatic Patterns and Using Doctrine,Wardley maps,Working,Simon Wardley,4,1,Thu,PM-2,Yes,Yes,All,ID.BE,D-SA-A,"Wardley map, risk management",
Wardley Mapping - Coordinating functions within a PST organisation,Wardley maps,Working,Simon Wardley,2,0,Thu,PM-3,Yes,Yes,All,ID.BE,D-SA-A,"Wardley map, risk management",
